fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,4,JANUARY,201089,6165001,180
2015,4,JANUARY,201160,7168180,200
2015,9,JUNE,418043,71710033,672
2015,9,JUNE,418043,71712124,60
2015,9,JUNE,418043,74744013,648
2015,9,JUNE,418043,75750254,180
2015,9,JUNE,422837,6140215,105
2015,9,JUNE,425324,6160920,224
2015,9,JUNE,433008,74742903,2856
2015,9,JUNE,479407,5140014,390
2015,9,JUNE,17911,70118324,240
2015,9,JUNE,17911,74744916,264
2015,9,JUNE,48249,9111042,150
2015,9,JUNE,59002,9150360,72
2015,9,JUNE,74018,1170213,1008
2015,9,JUNE,200002,5110070,720
2015,9,JUNE,200002,5116007,102
2015,9,JUNE,200362,6164437,70
2015,9,JUNE,200362,80807574,48
2015,9,JUNE,200515,70NR0006,25
2015,9,JUNE,200627,1120014,37809
2015,9,JUNE,200730,6183619,0
2015,9,JUNE,201144,7161125,62
2015,9,JUNE,455075,6160290,88
2015,9,JUNE,616284,4130040,896
2015,9,JUNE,751650,4125005,75
2015,10,JULY,74425,6150030,50
2015,10,JULY,192801,6110023,12
2015,10,JULY,192801,6110143,8
2015,10,JULY,192801,6110145,16
2015,10,JULY,17911,70111944,336
2015,10,JULY,17911,70118174,336
2015,10,JULY,59002,9150486,30
2015,10,JULY,59002,9150806,36
2015,10,JULY,200362,6160307,144
2015,10,JULY,200627,1120060,40155
2015,10,JULY,200633,7160250,128
2015,10,JULY,200679,4116019,240
2015,1,OCTOBER,48249,9150812,1181
2015,1,OCTOBER,200228,4126039,480
2015,1,OCTOBER,200362,6160159,1026
2015,1,OCTOBER,200362,6160165,270
2015,1,OCTOBER,200515,79BL2380,168
2015,1,OCTOBER,200587,6167040,128
2015,1,OCTOBER,201089,6160078,340
2015,1,OCTOBER,201089,6165003,360
2015,1,OCTOBER,201144,7161142,270
2015,1,OCTOBER,201160,7160011,300
2015,1,OCTOBER,501084,6160101,120
2015,1,OCTOBER,501084,6166085,112
2015,1,OCTOBER,505049,5130060,321
2015,1,OCTOBER,633203,9110123,70
2015,1,OCTOBER,633203,10140021,608
2015,2,NOVEMBER,2810,6183614,40
2015,2,NOVEMBER,16204,5176008,580
2015,2,NOVEMBER,67230,9120088,60
2015,2,NOVEMBER,277875,70114164,240
2015,2,NOVEMBER,280285,4116001,539
2015,2,NOVEMBER,341588,6110319,32
2015,2,NOVEMBER,418043,74745423,672
2015,2,NOVEMBER,418043,78781213,144
2015,2,NOVEMBER,431615,9120095,324
2015,2,NOVEMBER,7347,5140018,80
2015,2,NOVEMBER,17911,74740113,528
2015,2,NOVEMBER,23447,4140102,2236
2015,2,NOVEMBER,33778,6160354,180
2015,2,NOVEMBER,48249,9110072,30
2015,2,NOVEMBER,49070,6160701,576
2015,2,NOVEMBER,49213,6140108,216
2015,2,NOVEMBER,200002,6130002,56
2015,2,NOVEMBER,200002,6160062,20
2015,2,NOVEMBER,200002,6168027,210
2015,2,NOVEMBER,200002,6168080,39
2015,1,OCTOBER,31731,9160008,1800
2015,1,OCTOBER,33778,6160360,160
2015,1,OCTOBER,49070,6161632,850
2015,1,OCTOBER,76005,9169054,1260
2015,1,OCTOBER,76005,10140028,312
2015,1,OCTOBER,200362,6161071,648
2015,1,OCTOBER,200362,80807568,144
2015,1,OCTOBER,200596,6182010,764
2015,1,OCTOBER,292238,5150097,7200
2015,1,OCTOBER,751650,4120016,240
2015,1,OCTOBER,751650,4120020,378
2015,2,NOVEMBER,16204,5130058,48
2015,2,NOVEMBER,74425,6150080,150
2015,2,NOVEMBER,192801,6110142,104
2015,2,NOVEMBER,192801,6110149,48
2015,2,NOVEMBER,277875,78786493,1056
2015,2,NOVEMBER,454231,5173051,270
2015,2,NOVEMBER,7347,5140029,300
2015,2,NOVEMBER,23088,6148007,240
2015,2,NOVEMBER,23088,6148028,72
2015,2,NOVEMBER,33778,6160086,120
2015,2,NOVEMBER,76005,10140016,40
2015,2,NOVEMBER,200002,5110006,140
2015,2,NOVEMBER,200002,10120002,15
2015,2,NOVEMBER,200237,6168091,108
2015,2,NOVEMBER,200311,2115021,1540
2015,2,NOVEMBER,200362,6160333,1188
2015,2,NOVEMBER,200596,6168302,50
2015,2,NOVEMBER,200596,6182026,24
2015,2,NOVEMBER,200627,1120228,1015
2015,2,NOVEMBER,200636,4127013,140
2015,2,NOVEMBER,200679,4127051,480
2015,2,NOVEMBER,501084,6160101,120
2015,2,NOVEMBER,501084,6166085,112
2015,2,NOVEMBER,633203,9150835,600
2015,2,NOVEMBER,751650,4110038,1188
2015,10,JULY,201160,7168180,300
2015,10,JULY,74425,6150066,40
2015,10,JULY,74425,6150080,1520
2015,10,JULY,74425,6159178,2860
2015,10,JULY,192801,6110056,96
2015,10,JULY,195736,5110007,900
2015,10,JULY,277875,78786493,1056
2015,10,JULY,359447,3140082,19980
2015,10,JULY,364514,79BL0710,48
2015,10,JULY,364514,79BL8880,320
2015,10,JULY,402059,6162021,112
2015,10,JULY,454231,5173060,480
2015,10,JULY,22350,7161139,528
2015,10,JULY,23088,6140013,210
2015,10,JULY,23088,6140026,48
2015,10,JULY,23088,6148028,168
2015,10,JULY,30589,6160543,3120
2015,10,JULY,48249,9120096,1056
2015,10,JULY,49070,6168201,335
2015,10,JULY,67590,1161022,992
2015,10,JULY,187101,4130019,128
2015,10,JULY,200002,6130005,280
2015,10,JULY,200002,6164430,288
2015,10,JULY,200002,6168027,750
2015,10,JULY,200002,6168038,240
2015,10,JULY,200002,7161418,73
2015,10,JULY,200299,7161401,45
2015,10,JULY,455075,6166014,660
2015,10,JULY,455075,6166222,435
2015,10,JULY,501084,5130008,1840
2015,10,JULY,633203,9150832,297
2015,11,AUGUST,192801,6110150,56
2015,11,AUGUST,364514,79BL1080,20
2015,11,AUGUST,418043,74745234,672
2015,11,AUGUST,418043,75754713,528
2015,11,AUGUST,22350,5150040,225
2015,1,OCTOBER,521127,10140010,1050
2015,1,OCTOBER,751650,4120004,256
2015,1,OCTOBER,751650,4120011,448
2015,2,NOVEMBER,2810,6140203,100
2015,2,NOVEMBER,74425,6159176,780
2015,2,NOVEMBER,182475,6160094,144
2015,2,NOVEMBER,192801,6110152,16
2015,2,NOVEMBER,277875,70112642,360
2015,2,NOVEMBER,277875,74743133,1056
2015,2,NOVEMBER,364514,79BL0420,40
2015,2,NOVEMBER,402059,6164450,720
2015,2,NOVEMBER,418043,70110754,336
2015,2,NOVEMBER,457022,3140032,15000
2015,2,NOVEMBER,13348,6160016,300
2015,2,NOVEMBER,33778,6161616,90
2015,2,NOVEMBER,33778,6161648,1320
2015,2,NOVEMBER,33778,6161650,120
2015,2,NOVEMBER,33778,6161652,240
2015,2,NOVEMBER,67590,1127023,200
2015,2,NOVEMBER,200002,6160385,56
2015,2,NOVEMBER,200002,6160808,117
